,Date,Close
0,2021-01-01,126.24
1,2021-01-02,136.96
2,2021-01-03,161.24
3,2021-01-04,155.34
4,2021-01-05,158.43
5,2021-01-06,168.92
6,2021-01-07,169.35
7,2021-01-08,172.19
8,2021-01-09,177.26
9,2021-01-10,170.07
10,2021-01-11,138.87
11,2021-01-12,133.42
12,2021-01-13,147.38
13,2021-01-14,152.5
14,2021-01-15,143.65
15,2021-01-16,143.52
16,2021-01-17,142.8
17,2021-01-18,151.96
18,2021-01-19,151.86
19,2021-01-20,149.69
20,2021-01-21,129.72
21,2021-01-22,137.66
22,2021-01-23,137.67
23,2021-01-24,141.01
24,2021-01-25,137.07
25,2021-01-26,134.67
26,2021-01-27,122.44
27,2021-01-28,133.27
28,2021-01-29,134.65
29,2021-01-30,133.36
30,2021-01-31,129.36
31,2021-02-01,132.0
32,2021-02-02,141.98
33,2021-02-03,155.93
34,2021-02-04,145.07
35,2021-02-05,155.05
36,2021-02-06,155.57
37,2021-02-07,150.76
38,2021-02-08,167.28
39,2021-02-09,181.49
40,2021-02-10,181.56
41,2021-02-11,183.62
42,2021-02-12,196.69
43,2021-02-13,225.76
44,2021-02-14,213.49
45,2021-02-15,207.83
46,2021-02-16,210.26
47,2021-02-17,237.49
48,2021-02-18,226.59
49,2021-02-19,236.5
50,2021-02-20,226.65
51,2021-02-21,227.13
52,2021-02-22,208.32
53,2021-02-23,177.34
54,2021-02-24,181.43
55,2021-02-25,179.36
56,2021-02-26,170.25
57,2021-02-27,171.76
58,2021-02-28,165.22
59,2021-03-01,175.89
60,2021-03-02,179.08
61,2021-03-03,187.64
62,2021-03-04,180.67
63,2021-03-05,180.23
64,2021-03-06,182.85
65,2021-03-07,190.75
66,2021-03-08,191.85
67,2021-03-09,203.81
68,2021-03-10,200.29
69,2021-03-11,201.36
70,2021-03-12,220.84
71,2021-03-13,226.06
72,2021-03-14,213.94
73,2021-03-15,200.59
74,2021-03-16,201.6
75,2021-03-17,205.98
76,2021-03-18,199.7
77,2021-03-19,199.96
78,2021-03-20,200.17
79,2021-03-21,195.31
80,2021-03-22,185.67
81,2021-03-23,185.83
82,2021-03-24,176.05
83,2021-03-25,171.53
84,2021-03-26,183.45
85,2021-03-27,184.06
86,2021-03-28,184.24
87,2021-03-29,193.73
88,2021-03-30,195.74
89,2021-03-31,196.7
90,2021-04-01,202.86
91,2021-04-02,211.46
92,2021-04-03,195.23
93,2021-04-04,202.21
94,2021-04-05,221.48
95,2021-04-06,237.04
96,2021-04-07,219.05
97,2021-04-08,226.11
98,2021-04-09,221.12
99,2021-04-10,256.34
100,2021-04-11,252.31
101,2021-04-12,244.42
102,2021-04-13,267.59
103,2021-04-14,278.86
104,2021-04-15,285.63
105,2021-04-16,308.43
106,2021-04-17,300.86
107,2021-04-18,273.36
108,2021-04-19,261.38
109,2021-04-20,260.68
110,2021-04-21,257.69
111,2021-04-22,252.5
112,2021-04-23,241.31
113,2021-04-24,224.75
114,2021-04-25,223.88
115,2021-04-26,247.42
116,2021-04-27,259.77
117,2021-04-28,258.51
118,2021-04-29,255.31
119,2021-04-30,271.13
120,2021-05-01,276.78
121,2021-05-02,268.88
122,2021-05-03,294.87
123,2021-05-04,305.23
124,2021-05-05,356.04
125,2021-05-06,354.67
126,2021-05-07,344.89
127,2021-05-08,347.1
128,2021-05-09,387.8
129,2021-05-10,358.89
130,2021-05-11,377.6
131,2021-05-12,310.4
132,2021-05-13,317.95
133,2021-05-14,326.23
134,2021-05-15,300.3
135,2021-05-16,295.89
136,2021-05-17,281.53
137,2021-05-18,293.98
138,2021-05-19,185.93
139,2021-05-20,210.74
140,2021-05-21,179.97
141,2021-05-22,169.32
142,2021-05-23,142.39
143,2021-05-24,185.32
144,2021-05-25,183.76
145,2021-05-26,198.91
146,2021-05-27,194.32
147,2021-05-28,177.33
148,2021-05-29,164.01
149,2021-05-30,170.51
150,2021-05-31,187.97
151,2021-06-01,182.99
152,2021-06-02,187.14
153,2021-06-03,193.5
154,2021-06-04,178.44
155,2021-06-05,172.94
156,2021-06-06,176.41
157,2021-06-07,161.95
158,2021-06-08,160.63
159,2021-06-09,172.56
160,2021-06-10,168.16
161,2021-06-11,162.83
162,2021-06-12,161.8
163,2021-06-13,170.85
164,2021-06-14,179.89
165,2021-06-15,175.15
166,2021-06-16,166.57
167,2021-06-17,167.08
168,2021-06-18,156.34
169,2021-06-19,152.49
170,2021-06-20,154.88
171,2021-06-21,124.46
172,2021-06-22,119.64
173,2021-06-23,129.1
174,2021-06-24,134.58
175,2021-06-25,125.0
176,2021-06-26,126.89
177,2021-06-27,132.6
178,2021-06-28,137.69
179,2021-06-29,144.2
180,2021-06-30,144.26
181,2021-07-01,137.02
182,2021-07-02,136.85
183,2021-07-03,140.17
184,2021-07-04,144.95
185,2021-07-05,137.71
186,2021-07-06,138.87
187,2021-07-07,137.41
188,2021-07-08,132.15
189,2021-07-09,134.58
190,2021-07-10,133.99
191,2021-07-11,134.28
192,2021-07-12,133.38
193,2021-07-13,131.44
194,2021-07-14,131.07
195,2021-07-15,125.86
196,2021-07-16,120.65
197,2021-07-17,119.95
198,2021-07-18,119.17
199,2021-07-19,113.13
200,2021-07-20,107.29
201,2021-07-21,117.74
202,2021-07-22,120.67
203,2021-07-23,124.24
204,2021-07-24,125.99
205,2021-07-25,127.68
206,2021-07-26,131.06
207,2021-07-27,134.74
208,2021-07-28,140.42
209,2021-07-29,141.44
210,2021-07-30,145.51
211,2021-07-31,144.37
212,2021-08-01,140.31
213,2021-08-02,141.35
214,2021-08-03,138.49
215,2021-08-04,142.57
216,2021-08-05,143.53
217,2021-08-06,147.95
218,2021-08-07,155.92
219,2021-08-08,149.69
220,2021-08-09,166.31
221,2021-08-10,165.38
222,2021-08-11,170.6
223,2021-08-12,165.38
224,2021-08-13,183.31
225,2021-08-14,182.76
226,2021-08-15,184.6
227,2021-08-16,177.93
228,2021-08-17,168.61
229,2021-08-18,166.65
230,2021-08-19,175.59
231,2021-08-20,183.59
232,2021-08-21,179.63
233,2021-08-22,185.91
234,2021-08-23,187.01
235,2021-08-24,173.42
236,2021-08-25,177.75
237,2021-08-26,167.7
238,2021-08-27,176.2
239,2021-08-28,175.6
240,2021-08-29,174.3
241,2021-08-30,167.3
242,2021-08-31,171.5
243,2021-09-01,180.9
244,2021-09-02,183.3
245,2021-09-03,212.9
246,2021-09-04,211.9
