,Date,Close
0,2021-01-01,0.17509
1,2021-01-02,0.17742
2,2021-01-03,0.20615
3,2021-01-04,0.22528
4,2021-01-05,0.25873
5,2021-01-06,0.33309
6,2021-01-07,0.29928
7,2021-01-08,0.30389
8,2021-01-09,0.33062
9,2021-01-10,0.30153
10,2021-01-11,0.2757
11,2021-01-12,0.28888
12,2021-01-13,0.3123
13,2021-01-14,0.31201
14,2021-01-15,0.30188
15,2021-01-16,0.35071
16,2021-01-17,0.38081
17,2021-01-18,0.37123
18,2021-01-19,0.3672
19,2021-01-20,0.37532
20,2021-01-21,0.30785
21,2021-01-22,0.34867
22,2021-01-23,0.34583
23,2021-01-24,0.35345
24,2021-01-25,0.34308
25,2021-01-26,0.3433
26,2021-01-27,0.31144
27,2021-01-28,0.34409
28,2021-01-29,0.34752
29,2021-01-30,0.364
30,2021-01-31,0.34475
31,2021-02-01,0.40876
32,2021-02-02,0.42498
33,2021-02-03,0.44189
34,2021-02-04,0.43934
35,2021-02-05,0.53917
36,2021-02-06,0.63444
37,2021-02-07,0.66109
38,2021-02-08,0.67638
39,2021-02-09,0.70562
40,2021-02-10,0.93966
41,2021-02-11,0.92796
42,2021-02-12,0.92426
43,2021-02-13,0.91299
44,2021-02-14,0.84364
45,2021-02-15,0.86143
46,2021-02-16,0.87
47,2021-02-17,0.89206
48,2021-02-18,0.91442
49,2021-02-19,0.92581
50,2021-02-20,1.11568
51,2021-02-21,1.09894
52,2021-02-22,1.09703
53,2021-02-23,0.96197
54,2021-02-24,1.04902
55,2021-02-25,1.07691
56,2021-02-26,1.24303
57,2021-02-27,1.31402
58,2021-02-28,1.31203
59,2021-03-01,1.29627
60,2021-03-02,1.2228
61,2021-03-03,1.21311
62,2021-03-04,1.11239
63,2021-03-05,1.15908
64,2021-03-06,1.129
65,2021-03-07,1.13042
66,2021-03-08,1.11848
67,2021-03-09,1.1972
68,2021-03-10,1.13261
69,2021-03-11,1.1243
70,2021-03-12,1.03207
71,2021-03-13,1.1
72,2021-03-14,1.05243
73,2021-03-15,1.03103
74,2021-03-16,1.24924
75,2021-03-17,1.377
76,2021-03-18,1.22925
77,2021-03-19,1.29474
78,2021-03-20,1.20046
79,2021-03-21,1.18561
80,2021-03-22,1.1015
81,2021-03-23,1.11639
82,2021-03-24,1.06902
83,2021-03-25,1.0956
84,2021-03-26,1.2142
85,2021-03-27,1.17678
86,2021-03-28,1.18983
87,2021-03-29,1.20239
88,2021-03-30,1.21189
89,2021-03-31,1.19191
