,Date,Close
0,2021-01-01,29331.69
1,2021-01-02,32178.33
2,2021-01-03,33000.05
3,2021-01-04,31988.71
4,2021-01-05,33949.53
5,2021-01-06,36769.36
6,2021-01-07,39432.28
7,2021-01-08,40582.81
8,2021-01-09,40088.22
9,2021-01-10,38150.02
10,2021-01-11,35404.47
11,2021-01-12,34051.24
12,2021-01-13,37371.38
13,2021-01-14,39144.5
14,2021-01-15,36742.22
15,2021-01-16,35994.98
16,2021-01-17,35828.61
17,2021-01-18,36631.27
18,2021-01-19,35891.49
19,2021-01-20,35468.23
20,2021-01-21,30850.13
21,2021-01-22,32945.17
22,2021-01-23,32078.0
23,2021-01-24,32259.9
24,2021-01-25,32254.2
25,2021-01-26,32467.77
26,2021-01-27,30366.15
27,2021-01-28,33364.86
28,2021-01-29,34252.2
29,2021-01-30,34262.88
30,2021-01-31,33092.98
31,2021-02-01,33526.37
32,2021-02-02,35466.24
33,2021-02-03,37618.87
34,2021-02-04,36936.66
35,2021-02-05,38290.24
36,2021-02-06,39186.94
37,2021-02-07,38795.69
38,2021-02-08,46374.87
39,2021-02-09,46420.42
40,2021-02-10,44807.58
41,2021-02-11,47969.51
42,2021-02-12,47287.6
43,2021-02-13,47153.69
44,2021-02-14,48577.79
45,2021-02-15,47911.1
46,2021-02-16,49133.45
47,2021-02-17,52119.71
48,2021-02-18,51552.6
49,2021-02-19,55906.0
50,2021-02-20,55841.19
51,2021-02-21,57408.57
52,2021-02-22,54087.67
53,2021-02-23,48891.0
54,2021-02-24,49676.2
55,2021-02-25,47073.73
56,2021-02-26,46276.87
57,2021-02-27,46106.43
58,2021-02-28,45135.66
59,2021-03-01,49587.03
60,2021-03-02,48440.65
61,2021-03-03,50349.37
62,2021-03-04,48374.09
63,2021-03-05,48751.71
64,2021-03-06,48882.2
65,2021-03-07,50971.75
66,2021-03-08,52375.17
67,2021-03-09,54884.5
68,2021-03-10,55851.59
69,2021-03-11,57773.16
70,2021-03-12,57221.72
71,2021-03-13,61188.39
72,2021-03-14,58968.31
73,2021-03-15,55605.2
74,2021-03-16,56900.75
75,2021-03-17,58912.97
76,2021-03-18,57648.16
77,2021-03-19,58030.01
